urdu,roman_urdu
پاکستانی ڈراموں کا جو ایک خاص مہذیب اور خوبصورت انداز ہوا کرتا تھا وہ اب نہ ہی اِس ڈرامے میں اور نہ ہی کسی اور پروگرام میں نظر آتا ہے,pakistani dramon ka jo aik kaas muhazab aur khubsurat andaz hua karta tha wo ab na hi iss drama mein aur na hii kisi aur program mein nazar ati hai
سمیع پر مہربانی بھی اُسی سلسلے کی ایک کڑی لگ رہی ہے,samee per meherbani bhi osi silsilay ke aik kari lag rahi ha
پتا نہیں دوسروں کے کریکٹر پہ کیچڑ اچھال کے لوگوں کو کِیا ملتا ہے,pta nai dosron k character py kichar uchal k logo ko kia milta ha
اچھا ویسے اِس ڈرامے کو دیکھنے کے بعد سب اُس لڑکے کے پیچھے پڑ گئے ہیں کہ وہ جوا کھیلتا ہے,acha waise es drama ko dekhne k baad sb us larke k pechee pr gayee hain k wo jua khelta he
زیادہ ڈراماز دیکھنے سے پرہیز کریں بعض ڈراماز صحت کے لئے مضر ہوتے ہیں,zayada dramas dekhnay se perhaz keren baaz dramaz sehat k lye muzzar hain
ایک گھر ہی لیا بڑا سا اور اِس ڈرامے مَیں صرف اِسی گھر مَیں شوٹنگ ہوئی کہیں اور تو دکھایا نہیں گیا,ik ghar hi lia bara sa or is drama main sirf isi ghar main shooting hui kahin or to dekhaya nahi gya
ویسے مجھے پتا ہے آپ کا میں بس آپ کو تھوڑا تنگ کر رہی تھی,wesay mujay pta hai ap ka ma be bus apko thora tang ker rehi thi
ہر ڈرامے دیکھتی ہیں مینز اچھا برا جیسا بھی ہو بس دیکھنا ہے پھر تو قدوسی صاحب کی بیوہ بھی دیکھتی ہوں گی,her drama dekhti hain means acha bura jaisa bhi ho bus dekhana hai phir to qadoosi sahab ki bewa bhi dekhti hoon gi
اُن کے ذہن ایک ہی چیز پر اٹک جاتے ہیں اور اُسی بات کی امید رکھنا اسٹارٹ ہو جاتی ہیں,un k zehan aik hi cheez per atak jaty hain aur usi bat ki umeed rakhna start ho jaty hain
اُسے کہنا ماں یہاں پر ہوں جب دل کرے تو مجھ سے بات کر لینا,osay kehna ma yehin per hon jb dil keray to muj say baat ker lena
مَیں پہلے ہی کہہ رہی تھی کہ بڑی سرکار نے مرنا ہے,main pahly hi keh rhi thi k bari sarkar ne marna hai
آج کل پاکستان مَیں حالات خراب ہونے کے ساتھ ساتھ لوگوں کی زبانیں بھی خراب ہو گئی ہیں,ajj kal pakistan main halaat khraab honay kay saath saath logoon ki zubanain bhi kharaab ho gayee hain
بڑی اچھی تربیت ہوتی ہوگی پھر تُو بچوں کی بھی,barri achi tarbiyat hoti hogi phir tu bacho ki bhi
وہ اُس کی ایک غلطی کی وجہ سے کہہ رہی ہے کہ وہ اِسے زندگی بھر معاف نہیں کرے گی اور خلع مانگ رہی ہے یہ,woh us ki aik ghalti ki waja say keh rahi hay k wo isay zindigi bhur maaf nahi karegi aur khula mang rahi hay ye
نائس یار کِیا ڈرامہ ہے زندگی کے غم کم کرنے کے لئے یہ ڈرامہ بہت اچھا ہے,nice yar keya drama hy zindagi k gham kam karny k ly ya drama bohat acha hy
لیکن آج میں دوبارہ سے اِس شیطانی کام پر لعنت بھیجتا ہوں,lekin aaj mein dubara se is shaitani kaam per lanat bhejta hoon
کچھ خاص نہیں آیا,kch khas nahi aya
جس کسی نے بھی اگر ایسی پاکیزہ محبت کی ہوگی وہ افضل کے کریکٹر سے بخوبی لطف اندوز ہو رہا ہوگا,jis kisi ne b agar aisi pakeeza mohabbat ki hogi woh afzal k character se bakhoobi lutf andooz ho rha hoga
وہ اُسی کی خواہش پورا کرنے گیا تھا باہر پھر بھی کوئی قدر نہیں کی رانیا نے,wo usi ki kwahish pura karne gaya tha bahir phir bhi koi kadar nahi ki rania ne
اگر تمہارے مشورے پر ڈرامہ بنے تو 2 قسطوں میں ختم ہو جائے گا,agar tumhare mashware pe drama bne to 2 qiston me khatam ho jae ga
اب کی دفعہ  کون سا ٹائٹل رکھوانا پسند کرو گے اپنے کمنٹ کا,ab ki dafa koun sa title rakhwana pasand karo gay apne comment ka
خود کو پسند نہیں ہے تو دوسروں کو شٹ اپ کیوں کہتے ہو,khod ko pasand nahi hai to dosoron ko shut up kyoun kahatay ho
صرف اِس وجہ سے ڈرامہ دیکھنے کو جی نہیں چاہتا ورنہ اسٹوری انٹرسٹنگ ہے,sirf is waja se drama daykhny ko g nahi chahta warna story interesting hai
میں اس کی سسٹر ہی ہوں آج کل میں نے اس کی جگہ لی ہوئی ہے,ma os ke sister he hon aj kal ma ny os ke jaga le hoe hai
فرسٹ ایپیسوڈ کچھ خاص نہیں تھی,1st episode kuch khas nahi thi
سوائے گانے کے کچھ بھی اچھا نہیں تھا,siwayee ganay k kuch bhi acha nahee tha
گھٹیا لوگ گھٹیا سوچ گھٹیا منہ,ghatiya log ghatiya soch ghatiya moonh
بلبلے میں سب سے اچھی ایکٹنگ مومو نے کی ہے اور بلبلے بہت اچھا جا رہا ہے,bulbulay mein sab sa achi acting momo na ki ha or bulbulay bohot acha ja raha ha
مجھے آپ کے تبصرے بھی بہت اچھے لگتے ہیں,mujhy aap k tabsary b bohat achy lagty hein
ممکن ہے اضطراب مَیں بھی کچھ سرور ہو,mumkin hai izteraab main bhi kuch suroor ho
لیکن جب ٹیبل دیکھی تو شربت کے علاوہ کچھ نہیں جو کہ افطار کے اینڈ تک فل جگ سے بھرا ہوا تھا,lakin jab table dekhi to sharbat ke ilawa kuch nahi jo k aftar ke end tak full jag se bahra hua tha
ڈائریکٹر صاحب اِس ڈرامے سے میں نے بہت سی امیدیں لگائی ہوئی ہے کہ یہ ڈرامہ بہت اچھا ہو گا میری امیدوں پر پانی نہ پھیرنا,director sahib es dramay say ma nay boht se umeedain legaey hoe h k ye drama boht acha ho ga mere umeedon per pani na pherna
اِس کا تو یہی مطلب بنتا ہے وہ انتظار میں تھی,is ka to yehi matlab banta hai wo inetzaar ma thee
یہ نہ دیکھو کہ کون کہہ رہا ہے یہ دیکھو کہ کیا کہہ رہا ہے,yeh na dekho k kon keh raha hai yeh dekho k kya kehraha hai
لیکن میں نام بدلتی رہتی ہوں لیکن لڑکا بن کر میں نے کبھی بھی کسی سے بات نہیں کی,lakin ma naam badelty rehati hon lakin lerka ban ker ma ny kabhi b kese sy baat nahi ke
وہ تُو ویسے بھی کوئی نہیں کرتا نا خاص کر جب ہسبنڈ شہر سے باہر جاب کرتا ہو تُو,wo tu wese bhi koi nahee karta na khaas kar jab husband shehr se bahir job karta ho tu
اللہ سب مسلمانوں کو دین کی صحیح سمجھ عطا فرمائے اور اِس دور میں دین کی روشنی کریں,allah sub muslamanoo ko deen ki sahi samaj atta farmaqee aur is door mein deen ke roshni keray
ظلم برداشت کرنے والا بھی اتنا ہی ظالم ہے جتنا ظلم کرنے والا,zulm bardasht kernay wala bhee utna hee zalim hay jitna zulm kernay wala
مجھے تو یہ اُن کے گھر کی ہی شوٹنگ لگ رہی ہے,mujhey to yeh un k ghar kii hi shooting lag rhi hai
اپنی غلطی کا احساس ہو جاتا ہے تو اُس کے بعد اُس کی ڈیتھ ہو جاتی ہے,apni ghalti ka ehsas ho jata h to uskay baad uski death ho jati h
اِس کا مطلب ہے کہ وہی سب کو ووٹ ڈاﺅن کر رہا ہے,is ka matlab hai kay wohi sab ko vote down kar raha hai
ثانیہ سعید کی ایکٹنگ زبردست تھی اور بہت گریس فل بھی لگ رہی تھی,sania saeed ki acting zaradast thi aur bohot graceful bhi lag rahi thi
اللہ کی راہ میں مرنے والے شہید ہوتے ہیں اور شہد مر کر بھی زندہ رہتا ہے,allah ki rah me marney valey shaheed hotey hn or shaheed mar k bhi zinda rehta ha
ابھی مجھے بس ایک آنسر یاد آ رہا ہے۔ نیوزی لینڈ میں سانپ نہیں پائے جاتے,abhi mujhy bs ek answer yad aa rha hai.Newzeland mein sanp nhi pae jate.
وہ کون سا پتھر ہے جو پانی مَیں نہیں ڈوبتا؟ دنیا کی کون سی کنٹری ہے جہاں سانپ نہیں ہوتے؟,Woh kon sa pathar hai jo pani mai nahi doobta? Duniya ke kon c country hai jahan saanp nahi hote?
یہ تو گوگل سے سرچ کرنا پڑے گا فی الحال تو سیل سے لاگ ان ہیں,yeh to Google say Search karna paray ga filhal to cell say login hain
چلو کوئی بات نہیں کبھی وہ دِن بھی اللہ لائے گا جب ہم رمضان اور عید دونوں وہیں کریں گے جلدی آئے,Chalo koi baat nahi kabhi wo din b ALLAH laye ga jab hum ramzan aur eid dono wahin karein gay jaldi aye
آدھے سے زیادہ دِن سو کر گزارا مس کرنے کا ٹائم ہی نہیں ملا,adhay sai zaeeda din so ker guzara miss kernay ka time he nehe mila
ہر پودا سوکھا اور مرجھایا ہوا تھا,Har pauda Sukha aur murjhaya huwa tha.
اب اِس کا حال تو یہی ہے کہ دعا کریں,ab iska hal to yehi hai ke dua karain
ایک بات ذہن مَیں بار بار آتی ہے کہ آج ہم لوگ اپنے دین سے اتنے دور کیوں ہوتے جا رہے ہیں؟,Ek Baat Zehan Main Baar Baar Aati Hai Ke Aaj hum Log Apne Deen Se Itne door Kyon Hote Ja Rahe hain?
بہت سی باتیں ایسی ہوتی ہیں جو ہم جان بوجھ کر بھی نہیں کرتے اور کوئی باتیں ایسی ہوتی ہیں جو ہم دوسروں پر اپنی اہمیت زیادہ کرنے کے لئے بولتے ہیں,bohut c batein aesi hoti hain jo hum jan boojh k b nahi kerte ur koi batein aesi hoti hain jo hum dosron per apni ahmiyat ziada kerney k lie bolte hain
ہم اپنی طرف سے یہ نہیں لکھ رہے۔۔ ایک تحقیق ہوئی ہے وہ آپ کو بتا رہے ہیں,hum apni tarf se ye nhi likh rahay. ik tehqeeq hoi hai woh ap ko bata rahay hain
بلکہ کچھ لوگوں پے تحقیق کی جاتی ہے اور اُن کو یہ معلوم نہیں ہوتا کہ جو تحقیق ہو رہی ہے اُس کے بارے مَیں وہ کچھ جانتے بھی ہیں یا نہیں,balkeh kuch logoun peh tehqeq ki jati hai our un ko ye maloom nhi hota k jo tehqeq ho rahi hai us k baray mai woh kuch jantay bhi hain ya nhi.
صدیوں سے چلیں آرہی ہے,Sadiyon Se Chali Aa rahi Hai
بہت کم ایسے لوگ ہیں جو اپنے نام کو خفیہ رکھ کر یہ کام کررہے ہیں,uht kam ese log hein jo apne naam ko khufya rkh kr ye kaam kr rhe hein
اگر میرے پاس بہت ساری دولت ہے مجھے انسان انسان نہیں لگے گا۔۔ می خود کو کوئی اور ہی مخلوق سمجھ بیٹھوں گا,"agr mere pas boht saari dolat hai mujhe insaan, insaan nhi lagay ga. me khod ko koi our he makhlok samjh bethoun ga"
پھر بھی ہم مَیں وہ لوگ بھی ہیں جو دوسروں کا درد رکھتے ہیں جو انسانیت کی خدمت کرنا چاہتے ہیں,Phir Bhi Hum Main WOh Log Bhi Hain Jo Doosro Ka Dard Rakhte Hain Jo Insaniyat Ki Khidmat Karna Chahte Hain
ہم ہمیشہ یہی سوچتے ہیں کہ باقی ملک ترقی کر رہے ہیں، مگر یہ سب ایک انسان سے ہی شروع ہوتا ہے، جیسے قطرہ قطرہ سمنددر بنتا ہے,"Hum hamesha yehi sochte hain k baqi mulk taraqi kar rahe hain, magar ye sab aik insan se hi shuru hota hai, jaise qatra qatra samnadar banta hai"
کیونکہ دنیا میں ہر انسان کسی نا کسی مقصد کے لئے بنایا گیا ہے، انسان سمجھے یا نہ سمجھے، قدرت اُس سے وہ مقصد ضرور حاصل کر رہی ہے,"kyun ke dunia mein her insaan kisi na kisi maqsad ke liye banaya gaya hai, insaan samjhy ya na samjhy, qudrat uss se wo maqsad zaroor hasil ker rahi hai"
یار کسی کے پاس مچھر مارنے والا اسپرے ہے,yar kisi k pass Machar marnay wala spray hay
جب تک انصاف کا اچھا نظام نہ ہو تُو ملک صحیح طرح نہیں چل سکتا,jab tak insaaf ka acha nizaam na ho tu mulk sahi tarha nahi chal sakta.
اِس وقت تو یہ تینوں مسائل ہی اہم ہیں اور ایک سے بڑھ کر ایک ہیں,Iss waqt to ye teenon masail hi aham hai aur aik se barh kar aik hai.
عوام مَیں احساس ذمہ داری ہے وہ خود اپنے ملک اور قانون سے محبت کرتے ہیں,awam main ehsase zimadari hai woh khud apne mulk aur qanoon se mohobat karty hain
معافی سے بڑھ کے اب رہا کِیا ہے؟,Maafi say baarh kay abb raha kiya hay?
معصوم اور آپ یہ بات تو جوک کونر مَیں ہونی چاہئے تھی,masoom aur ap ye baat to jokes korner main honi chahiye thi
آپ کی مبارک باد ہمیں مل گئی اُس کے لئے مَیں تہہ دل سے شکر گزار ہوں,apki mubarak bad humein mil gae hai us kay liye mai teh dil say shukar ghuzar ho
ویسے یار میں سعودی میں ہوں۔ آ تو نہیں سکتا ہاں لیکن بہت بہت شکریہ ہم سب ہی کو انوائٹ کرنے کے لئے,Waise Yaar Mein Saudi Mein Hoo. Aa To Nahi Sakta Haan Lekin Bahut Bahut Sukriya Hum Sabhi Ko Invite Karne Ke Liye.
یہ کس کو آپ کی پرانی تھریڈز سے محبت ہو چلی ہے؟,yeh kis ko appki purani threads sai muhabbat hoo chali hai?
چلو اچھی بات ہے اگر ہو سکے تو کھانا بھی کھا لیجئے گا اُس دِن,chalo achi bat hai agar ho sakay to khana bhi kha lijiye ga us din
آپ سب کے خیالات جان کر اچھا لگا۔۔۔ سب ہی کے دل زخمی ہیں,Aap sab k khyalat jaan kar acha laga. sabhi k dil zakhmee hay
ایک چھوٹے سے گھر اور ایک قوم میں کافی فرق ہوتا ہے ہم دونوں کو کمپیئر نہیں کر سکتے,aik chote se ghar aur aik qom mein kafe farq hota hai ham donu ko compare nahe ker sakte
لیکن مَیں ذرا دیر مَیں بات کرتا ہوں لیکن ایک سوال ہے کہ آپ ذرا وضاحت کرو کہ رائٹس کی کیا تعریف ہے؟,Laykin mai zara deir mai baat karta hoon laykin aik sawal hay k aap zara wazahat karo k Rights ki kya tareef hay ?
جب بیمار ہوں تُو یہی رشتے سب سے زیادہ پریشان ہوتے ہیں,jab bemaar hoon tu yahi reshtay sab se ziyada pershan hotay hain
لیکن وہی کہا نا میں نے کہ اب جو اتنے سوال رکھ دیا میں نے ان کو کس طرح ہینڈل کر پاﺅ گے۔۔۔ میں جانتا ہوں کہ تم پوری ایک قوم کو رپریزینٹ نہیں کر سکتے ہاں ایک خاص طبقہ تمہارے ساتھ ضرور ہو سکتا ہے۔۔ پوری قوم نہیں,laykin whi kha na mai nay ky ab jo itnay sawal rakh diya may nay unko kis trha handel kar paw gy ... mai jaanta hoon k tum puri aik qoam ko represent nahi kar sakaty haan aik khas tabqa tumhary saath zaroor ho sakta hy ..puri qoam nahi
اللہ سب مَیں اتحاد پیدا کردے۔ امین,Allah sab main Ittehad Paida karde. Aameen
واہ واہ یہ ہوئی نا بات دل سے بھائی۔ بس ساری بات یہی ہے کہ آج اللہ کو یاد کر کہ آپ نے عمال کو صحیح کرنا نہیں چاہتے ہم اور امید اللہ سے ہے یا کہ سب کچھ صحیح ہوجائے گا,wah wah ya howe na baat dil say bhai. bas sari baat yahi hay k ajj Allah ko yaad ker k apnay amaal ko sahi kerna nahi chahtay hum aur umeed Allah say ya hay k sab koch sahi hojaey
آپ کی مسکان اور خاموشی سے ایک بات یاد آگئی جو آپ نے کہی تھی کہ لب خاموش ہی رہے تو اچھا ہے یہ کچھ نہ کہیں تو اچھا ہے,Aap ki muskan aur khamoshi sy aik bat yaad agai jo aap nay kahi thi k Lab khamosh hi rahy to acha hy ye kuch na khain to acha hy
0% بھی پکسل نہیں پھٹے بٹ امیج زوم اِن مَیں بلر ہو جاتا ہے,0% bhe pixel nhe phattay but image zoom in main blur ho jata hai
آج تم غریبوں کا مذاق اڑا رہے ہو کل لوگ تمہارا مذاق اڑائیں گے کیونکہ شاہ کو گدا اور گدا کو شاہ ہوتے دیر نہیں لگتی,Aaj tum ghareebon ka mazaq ura rahay ho kal log tumhara mazaq urain gay kyonke shah ko gada aur gada ko shah hotay dair nahi lagt
وہسے تیرا آفس بھی شاید ایئر پورٹ سے قریب ہی ہوگا؟ لگتا ہے کہ تُو آج کل کافی پریشان ہے اِس وجہ سے,Waisay taira office bhi shayad airport sa qareeb hi hoga ? Lagta ha keh tu aj kaal kaafi parashan ha is waja sa
اُس نے صرف آہستہ سے سر ہلا دیا۔ گویا وہ اِس کی بات سے متفق تھی۔ تھوڑی دیر تک خاموشی رہی,Uss ne sirf ahista se sar hila dya. Goya woh iss ki baat se mutafiq thi. Thori der tak khamoshi rahi.
جب سے کائنات وجود مَیں ہے تب سے لے کر آج تک سائنس نے جتنی ترقی پچھلے 60 سالوں مَیں کی ہے اتنی ترقی پچھلے ہزاروں سالوں مَیں نہیں ہو سکی,Jub se kainaat wajood main hai tab se lay kar aaj tak science ne jitni taraqi pichlay 60 salon main ki hai itni taraqi pichle hazaron salon main nahin ho saki
اِس کے لئے ضروری ہو گا کے اِس مَیں نجی سیکٹر کو لیا جائے اور اِس مَیں ٹرانسپوٹرز کو آزاد رکھا جائے,Is ke liye zaroori ho ga ke is main niji sector ko liya jaye aur is main transporters ko azad rakha jaye.
اِس کا استعمال وقت گزرنے کے ساتھ تیزی سے بڑھ رہا ہے اور یہ آج کے انسانوں کے لئے ایک ضرورت بن کر رہ گئی ہے۔ موٹر کار کی کئی قسمیں ہیں مثلاً بس، ٹرک، ویگن، سوزوکی، پیک اپ، وغیرہ,"Is ka istimal waqt guzarnay ke sath teezi se bharh raha hai aur ye aaj ke insanon ke liye aik zaroorat ban kar reh gayi hai. Motor car ki kayi qismain hain maslan bus, truck, wigon, suzuki, pickup, wagera."
درحقیقت یہ ترقی کا زینہ اور کامیابی کا راز ہے- یہ ایک ان مول خزانہ ہے,Dar haqeeqat ye taraqi ka zeena aur kamyabi ka raaz hai. Ye aik anmol khazana hai.
"یہی وجہ ہے کہ اِس کی پرائس  بہت ہائی ہو گئی۔ ایک اندازے کے مطابق کہا یہ جا رہا ہے کہ اِس کی پرائس پاکستان مَیں 150,000 کے قریب ہو گی","yehi wajah hai ke is ki price bohat high ho gai. Aik andazay ke mutabiq kaha ye ja raha hai keis ki price pakistan main 150,000 ke kareeb ho gi"
اِس کا مقصد ریلوے انجنز کے لئے فیول فراہم کرنا تھا۔ 1888 تک جنگل کے کافی حصے مَیں شیشم کے درخت اور کچھ عرصہ بعد توت اور بانس کے ٹریز بھی لگائے گئے,Is ka maqsad Railway engines ke liye fuel faraham karna tha. 1888 tak jungle ke kafi hisay main sheesham ke darakht aur khuch arsa baad toot aur baans ke trees bhi lagaye gaye.
بھائی کسی کی تعریف کرنے کے لئے کسی کو برا کہنا لازمی ہے؟ یہ کہہ سکتے ہیں کہ ایک اچھا اضافہ ہو سکتا ہے پاکستان کی پیس بیٹری مَیں,bhai kisi ki tareef karne ke lie kisi ko bura kehna lazmi hai? ye keh sakte hain k aik acha izafa ho sakta hai Pakistan ke pace battry main
یقین کریں ادھر کے لوگوں کے نزدیک محمد عامر کے بعد جنید سب سے اچھا لڑکا ہے۔ عرفان 2 سال کا مہمان ہے,yaqeen karen idhar k logon k nazdeek muhammad aamir ke baad Junaid sub se acha larka hai. irfan 2 sal ka mahman hai.
جو اِس بولر کو وسیم اکرم کے ساتھ ملا رہا ہے وہ بہت ہی بیوقوف قسم کا انسان ہے، اور اُس کو کرکٹ کے بارے مَیں کچھ پتا نہیں,"jo is bowler ko Wasim Akram ke sath mila rha hai wo bohot hi bewaqoof kisam ka insan hai, aur us ko cricket ke bare main kuch pata nhi"
سری لنکا اپنے آخری اوور کھیل رہے ہیں اور اسکور 264 ہے اِس طرح میرے خیال میں یہ ایک اچھا اسکور ہے اور میچ میں دلچسپی پیدا ہو رہی ہے,Sri Lanka apna aakhree over khail rahee hai aur score 264 hai is tarah mere khayal meN yah ek acha score hai aur match meN dilchaspee paida ho rahee hai
یہ جنگل ہے، یہاں کوئی قانون، انصاف، برابری نام کی چیز نہیں ہے,"Yeh jangal ha,yahan koi kanoon,insaf,brabari naam ki cheez nahe ha"
جب تک عوام نہیں جاگے گی، یہ ساری پارٹیز ہی قابض رہیں گی۔ چینج تب آئے گی جب ہر غریب اور ایماندار آدمی چینج چاہے گا,"Jab tak awaam nahe jagy gi,yeh sari parties he qabiz rahen gi.change tab aye gi jab har ghareeb aur aam admi change chahy ga."
میں کہہ رہا ہوں بولر اور بیٹسمین میں فرق ہوتا ہے۔ اِس لئے بولر کی ایکزامپل بولر سے ہی دو بٹسمین سے نہیں,main keh raha hun bowler aur batsman mein farq hota hai. Isliye bowler ki example bowler se he do batsman se nhi
بیٹنگ مَیں کوئی اسٹار پلیئر بھی نہیں ہے اِس لئے نوجوانوں کی توجہ کا مرکز بالنگ بنی ہوئی ہے,bating mai koi star player bhe nai hai is liye najwano ki twaja ka markaz bowling bani hui hai.
یار جا کر سو جاﺅ آپ تو بہتر ہو گا، آپ سے بحث کرنا ایسے ہی ہے جسیے ہاتھی کے آگے بین بجانا,"yaar jaa kar sau jawo aap to behtar hoga , aap se behes karna aise hi hai jaise haathi ke aage been bajani"
آپ کے بڑے ہونے کے لحاظ سے مَیں معافی چاہتا ہوں,aap ke barey honey ke lihaz sey main maafi chahta hoon
تب تک کے لئے اللہ حافظ,tab tak ke liye Allah Hafiz
ورلڈ کپ سے باہر ہم 80% میچ انڈیا سے جیت لیتے ہیں۔ ورلڈ کپ میں 0% ون ریشو ہے ہمارا,World cup se bahir hum 80% match india se jeet lete hain. World cup me 0% win ratio hai hamara
آپ یورپ کے کس ملک میں ہو بھائی,Aap Europe ke kis mulk mae ho bhai
یار مَیں نے کچھ دِن پہلے یہاں ایک تھریڈ دیکھا اُس مَیں لکھا تھا ٹیسٹ سیریز وائٹ واش کر دی ہے پاک نے,yr main nain kuch din pehlay yahn aik thread dekha us main likha tha test series white wash kar di ha pak nai
مَیں نے اپنی لاسٹ پوسٹ مَیں کہا تھا، کہ ہماری ٹیم جیت تو رہی ہے مگر اِس مَیں چمپینز بننے والی کوالٹی نہیں,"Main ne apni last post main kaha tha, k hamari team jeet to rahi hai magar iss main champions bunnay wali qualities nahi,,"
آپ کی لاجک پر قربان جاﺅں، لگتا ہے آپ نے کبھی کرکٹ نہیں کھیلی,"aap ki logic par Qurbaan jaon,lagta hay aap ne kabhi cricket nahi kheli"
جو آپ نے غرور والی بات کی ہے بھائی اُس کو پہلے بھی اوپر ڈیفائن کر چکے ہیں کہ جیتنا کچھ نہیں ہوتا کنسسٹینٹ رہنا ایشو ہے,jo apnay garoor walai baat ki ha bhai us ko pehlay be opar define kar chukay hain kay jeetna kuch nai hota consistant rehna issue ha
تب ہی وہ ایسے ڈسیشنز لیتے ہیں جن کے رزلٹ ہار کی صورت مَیں سامنے آتے ہیں,tabhi wo ayse decisions laitay hain jin k result haar ke sorat main samnay aatay hain
شاید کسی غصے کی وجہ سے۔ یا اپنے آپ کو منوانے کی فکر کی وجہ سے,Shayad kisi gusay ki waja say. Ya apnay apko manwanay ki fikar ki waja say.
اپنے اندر ایمانداری پیدا کریں، ایجوکیشن امپروو کریں، انصاف اور امن لائیں، نیک کام تو کوئی کرنا نہیں,"apne under emandaree peda kren, education improve kren, ensaf aur aman laen, nek kam to koee karna nahee"
یار یہ بات غلط ہے۔۔۔ جیسے ہی پاکستان میچ ہارتا ہے سب لوگ میچ فکسنگ اور جانے کیسے کیسے الزام لگاتے ہیں,Yaar yeh baat galat hai ... Jese he Pakistan match haarta hai sab log match fixing aur janay kese kese ilzaam lagatay hein
ایک تُو جزباتی چھوٹی چھوٹی باتوں پر ہو جاتے ہیں لوگ,aik tu jazbati choti choti batoon per ho jatey hein loog
آئندہ کے لئے اپنے آپ کو بہتر طریقے سے تیار کرنا چاہئے,Aenda ke liye apne aap ko behtar tareeqe se tayyar kerna chahy
کوئی ٹریک بتاﺅ۔ فری نیٹ ایکٹیو کرنے کے لئے,koi trick btao. free net active krne k liye.
چائنا کے موبائل مَیں کیسے زونگ فری انٹرنیٹ کریں گی,china ke mobile main kaisai zong free internet karain gai
اگر آپ کے پاس اچھا موبائل ہے جس میں بلوٹوتھ یا ڈیٹا کیبل کنیکشن ہے تو پھر ڈیٹا کیبل لگائیں موبائل میں,agar apke pas acha mobile ha jisme bluetooth ya data cable conection ha to pehle data cable lagai mobile me
جب ڈیڈ لائن ختم ہو گئی تو واپس جا سکتا ہے سیم پیکج پر,jab deadline khatm ho ge to wapis ja sakta ha same packge per
مجھے کوئی بتا سکتا ہے کہ یوفون کا انٹرنیٹ پیکج کون سا سب سے اچھا ہے,muje koi bta sakta h k UFONE ka internet packege kon sa sab se acha h
میں پہلے 2 سال سے موبائل انٹرنیٹ یوز کر رہا ہوں، کسی کی اسپیڈ اچھی نہیں ہے۔ سب کو ٹرائی کِیا۔ مجھے ڈی ایس ایل کی طرح کی اسپیڈ کی ضرورت ہے۔ جتنے بھی پیسے لگتے ہوں، کوئی فکر نہیں,"men pechle 2 saal se mobile internet use kr raha hon, kisi ke speed ache nai he. sub ko try kia. mujhe dsl ke tarha ke speed ke zarorat he. jitne bhe pyse lagte hon, koi fikar nai"
انسان کا اپنے دشمن سے انتقام کا سب سے اچھا طریقہ ہے کہ,Insaan ka apnay Dushman se inteqaam ka sub say acha tariqa ye he k
کسی نے حضرت علیؓ سے پوچھا: دوست اور بھائی مَیں کیا فرق ہے؟,Kisi ne HAZRAT ALI R.A se poocha: Dost aur bhai main kya farq hai?
اُس آدمی نے کہا: آپ نے بھائی کو کم قیمت اور دوست کو قیمتی کہا,Us aadmi ne kaha: Aap ne bhai ko kam qeemat aur dost ko qeemti kaha
تو آپ نے فرمایا: سونے مَیں اگر دراڑ آ جائے تو اُس کو پگھلا کر,To aap ne farmaya: Sone main agar darar aa jaye to us ko pighla kar
آ جائے تو وہ کبھی بھی پہلے جیسا نہیں بن سکتا,aa jai to wo kabhi bhi pehlay jaisa nahi ban sakta.
جب تم دنیا کی مفلسی سے تنگ آجاﺅ اور رزق کا کوئی راستہ نہ نکلے تو صدقہ دے کر اللہ سے تجارت کِیا کرو,Jab Tum dunya ki Muflisi se tang aa jao aur Rizaq ka koi rasta na niklay to Sadqa day ker Allah se tajaarat kiya kero.
طبیعت کی نرمی اور سخاوت، انسان کو دشمن کے دلوں مَیں بھی محبوب بنا دیتی ہے,"Tabeyat ki Narmi aur Sakhawat, insan ko Dushmnon k dilon main b Mehboob bana deti hai"
ناکام ہو، اور اُس سے بھی زیادہ کمزور وہ ہے جو ہاتھ آئے ہوئے,"Naakaam ho, Aur us se bhi Ziyada Kamzor Wo he Jo Haath aae huwe"
تم اچھا کرو اور زمانہ برا سمجھے، یہ تمہارے حق مَیں بہتر ہے بجائے اِس کے تم برا کرو اور زمانہ تم کو اچھا سمجھے,"Tum acha karo aur zamana bura samjhay , yeh tumharay haq mai behter hai bajaye is k tum bura karo aur zamana tum ko acha samjhay."
جب تم دنیا کی مفلسی سے تنگ آجاﺅ اور رزق کا کوئی راستہ نہ نکلے تُو صدقہ دے کر اللہ سے تجارت کیا کرو,Jub tum dunya ki muflisi se tung aajao aur rizq ka koi rasta na niklay Tu sadqa de ker ALLAH se tijarat karo.
بارش کا قطرہ سیپی اور سانپ دونوں کے منہ میں گرتا ہے جب کہ سانپ اُسے زہر بنا دیتا ہے اور سیپ اُسے موتی,Barish ka Qatra Seepi or Sanp dono kay Munah mein girta hai Jab keh Sanp ussay Zehar bana deta hai aur Seep Usay Moti.
جو تمہیں خوشی میں یاد آئے، سمجھو تم اُس سے محبت کرتے ہو اور جو تمہیں غم میں یاد آئے تو سمجھو وہ تم سے محبت کرتا ہے,"Jo tumhain khushi mein yad aaiy, samjho tum us se muhabbat kartey ho or jo tumhain gham mein yad aaiy to samjho woh tum se muhabbat kerta hay"
